workload_profile	summary_label	context_budget	isl	osl	load_bands_considered	agg_load_invariant_all_nodes	disagg_load_invariant_all_nodes	agg_win_node_count	disagg_win_node_count	missing_disagg_node_count	agg_win_nodes	disagg_win_nodes	missing_disagg_nodes	user_ratio_min	user_ratio_max	gpu_ratio_min	gpu_ratio_max	cluster_ratio_min	cluster_ratio_max	verdict
balanced_128k	Balanced 128K	131072	65536	65536	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	1.659	1.659	0.415	0.778	0.415	0.778	disagg
balanced_16k	Balanced 16K	16384	8192	8192	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.929	0.929	0.492	0.922	0.492	0.922	agg
balanced_1k	Balanced 1K	1024	512	512	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	1.007	1.007	0.495	0.743	0.495	0.743	disagg
balanced_256k	Balanced 256K	262144	131072	131072	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.540	0.540	0.662	1.242	0.662	1.242	agg
balanced_2k	Balanced 2K	2048	1024	1024	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.996	0.996	0.489	0.856	0.489	0.856	agg
balanced_32k	Balanced 32K	32768	16384	16384	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.923	0.923	0.467	0.875	0.467	0.875	agg
balanced_4k	Balanced 4K	4096	2048	2048	15	1	1	8	1	1	2,4,16,32,64,128,256,512	8	1	0.978	1.017	0.471	0.766	0.471	0.766	mixed
balanced_64k	Balanced 64K	65536	32768	32768	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	2.140	2.140	0.415	0.777	0.415	0.777	disagg
balanced_8k	Balanced 8K	8192	4096	4096	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.939	0.960	0.459	0.847	0.459	0.839	agg
chat_4k_500	Chat 4K / 500	4500	4000	500	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	1.377	1.412	0.618	0.672	0.618	0.661	disagg
observed_high_7k_128k	7K / 128K	138240	7168	131072	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	2.661	2.661	0.384	0.720	0.384	0.720	disagg
observed_high_7k_1k	7K / 1K	8192	7168	1024	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	1.169	1.215	0.565	0.781	0.565	0.774	disagg
observed_low_0p5k_128k	0.5K / 128K	131584	512	131072	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	3.495	3.495	0.362	0.679	0.362	0.679	disagg
observed_low_0p5k_1k	0.5K / 1K	1536	512	1024	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.890	0.942	0.500	0.889	0.500	0.875	agg
observed_mean_1p5k_128k	1.5K / 128K	132608	1536	131072	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	3.498	3.498	0.363	0.681	0.363	0.681	disagg
observed_mean_1p5k_1k	1.5K / 1K	2560	1536	1024	15	1	1	0	9	1		2,4,8,16,32,64,128,256,512	1	1.028	1.065	0.485	0.728	0.485	0.721	disagg
practical_32k_8k	32K / 8K	40960	32768	8192	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.944	0.944	0.489	0.916	0.489	0.916	agg
practical_64k_8k	64K / 8K	73728	65536	8192	15	1	1	9	0	1	2,4,8,16,32,64,128,256,512		1	0.831	0.831	0.469	0.862	0.469	0.853	agg
stress_128k	128K profile	131072	114688	16384	15	1	1	6	3	1	2,4,8,128,256,512	16,32,64	1	0.745	1.338	0.485	0.901	0.485	0.887	mixed
stress_256k	256K profile	262144	229376	32768	15	1	1	0	0	10			1,2,4,8,16,32,64,128,256,512							no_disagg_candidate
