profile_context_budget	context_budget_label	total_cells	supported_both_cells	unsupported_disagg_cells	failed_both_cells	supported_both_ratio	unsupported_disagg_ratio	failed_both_ratio
1024	1K	255	240	15	0	0.9412	0.0588	0.0000
1536	1.5K	255	240	15	0	0.9412	0.0588	0.0000
2048	2K	255	240	15	0	0.9412	0.0588	0.0000
2560	2.5K	255	240	15	0	0.9412	0.0588	0.0000
4096	4K	255	240	15	0	0.9412	0.0588	0.0000
4500	4500	255	240	15	0	0.9412	0.0588	0.0000
8192	8K	510	480	30	0	0.9412	0.0588	0.0000
16384	16K	255	240	15	0	0.9412	0.0588	0.0000
32768	32K	255	240	15	0	0.9412	0.0588	0.0000
40960	40K	255	240	15	0	0.9412	0.0588	0.0000
65536	64K	255	240	15	0	0.9412	0.0588	0.0000
73728	72K	255	240	15	0	0.9412	0.0588	0.0000
131072	128K	510	480	30	0	0.9412	0.0588	0.0000
131584	128.5K	255	240	15	0	0.9412	0.0588	0.0000
132608	129.5K	255	240	15	0	0.9412	0.0588	0.0000
138240	135K	255	240	15	0	0.9412	0.0588	0.0000
262144	256K	510	240	15	255	0.4706	0.0294	0.5000
